time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2005-01-31T23:51:19.210Z,9.347,93.006,30,4.6,mb,9,135.5,,1.65,us,usp000dfaf,2014-11-07T01:24:50.305Z,"258 km S of Port Blair, India",earthquake,,,,4,reviewed,us,us
2005-01-31T22:34:37.170Z,7.727,94,30,4.7,mb,13,116,,0.77,us,usp000dfae,2014-11-07T01:24:50.304Z,"249 km NW of Sabang, Indonesia",earthquake,,,,10,reviewed,us,us
2005-01-31T22:30:42.780Z,6.607,92.726,30,4.2,mb,5,214.9,,0.61,us,usp000dfad,2014-11-07T01:24:50.302Z,"297 km WNW of Sabang, Indonesia",earthquake,,,,2,reviewed,us,us
2005-01-31T20:42:50.330Z,14.413,92.198,30,4.9,mb,16,105.8,,1,us,usp000dfa9,2014-11-07T01:24:50.294Z,"Andaman Islands, India region",earthquake,,,,9,reviewed,us,us
2005-01-31T18:09:11.840Z,7.452,92.909,30,4.4,mb,9,205.2,,1.34,us,usp000dfa5,2014-11-07T01:24:50.257Z,"Nicobar Islands, India region",earthquake,,,,7,reviewed,us,us
2005-01-31T16:49:22.220Z,8.054,94.303,19.2,4.6,mb,19,115.6,,1.06,us,usp000dfa2,2014-11-07T01:24:50.246Z,"264 km NNW of Sabang, Indonesia",earthquake,,,,17,reviewed,us,us
2005-01-31T16:30:17.150Z,8.072,94.055,20,5.1,mwc,81,115.7,,0.89,us,usp000dfa0,2016-11-10T01:00:40.583Z,"278 km NNW of Sabang, Indonesia",earthquake,,,,,reviewed,us,hrv
2005-01-31T13:35:08.230Z,8.196,94.445,15.9,4.5,mb,7,176.2,,0.93,us,usp000df9v,2014-11-07T01:24:50.152Z,"272 km NNW of Sabang, Indonesia",earthquake,,,,7,reviewed,us,us
2005-01-31T13:14:33.270Z,8.167,94.265,22.1,5.1,mwc,72,107.6,,0.76,us,usp000df9t,2016-11-10T01:00:39.591Z,"277 km NNW of Sabang, Indonesia",earthquake,,,,,reviewed,us,hrv
2005-01-31T12:06:37.710Z,8.025,94.389,23.5,4.8,mb,17,115.6,,1.26,us,usp000df9r,2014-11-07T01:24:50.137Z,"257 km NNW of Sabang, Indonesia",earthquake,,,,16,reviewed,us,us
2005-01-31T09:19:27.740Z,13.621,92.815,30,4.3,mb,8,187.2,,0.61,us,usp000df9j,2014-11-07T01:24:50.085Z,"212 km N of Bamboo Flat, India",earthquake,,,,6,reviewed,us,us
2005-01-31T08:56:17.740Z,7.916,93.958,30,4.2,mb,6,211.4,,0.42,us,usp000df9h,2014-11-07T01:24:50.084Z,"269 km NW of Sabang, Indonesia",earthquake,,,,4,reviewed,us,us
2005-01-31T08:15:05.900Z,7.981,94.26,18.8,5.1,mwc,81,81.8,,1.16,us,usp000df9f,2016-11-10T01:00:39.076Z,"259 km NNW of Sabang, Indonesia",earthquake,,,,,reviewed,us,hrv
2005-01-31T07:46:09.640Z,8.274,94.372,30,4.4,mb,7,124.4,,1.49,us,usp000df9e,2014-11-07T01:24:50.073Z,"283 km NNW of Sabang, Indonesia",earthquake,,,,6,reviewed,us,us
2005-01-31T06:45:44.050Z,4.055,96.765,30,5.1,mwc,40,92.3,,1.23,us,usp000df9a,2016-11-10T01:00:38.581Z,"71 km E of Meulaboh, Indonesia",earthquake,,,,,reviewed,us,hrv
