time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-03-31T23:21:19.920Z,37.825,143.668,35,4.1,mb,21,132.7,,1,us,usp000hz17,2014-11-07T01:44:23.117Z,"217 km ESE of Ishinomaki, Japan",earthquake,,,,5,reviewed,us,us
2011-03-31T22:25:49.010Z,37.834,143.358,35,4.8,mb,178,39.8,,0.91,us,usp000hz13,2014-11-07T01:44:23.100Z,"191 km ESE of Ishinomaki, Japan",earthquake,,,,98,reviewed,us,us
2011-03-31T22:20:15.820Z,37.051,144.638,6.8,4.2,mb,35,136.6,,0.73,us,usp000hz12,2014-11-07T01:44:23.097Z,"off the east coast of Honshu, Japan",earthquake,,17.5,,7,reviewed,us,us
2011-03-31T22:16:56.920Z,38.224,141.895,55.5,4.5,mb,51,120,,1.03,us,usp000hz11,2014-11-07T01:44:23.093Z,"56 km ESE of Ishinomaki, Japan",earthquake,,7.1,,10,reviewed,us,us
2011-03-31T21:34:28.450Z,37.683,144.252,35,4.5,mb,31,135.4,,1.02,us,usp000hz0y,2014-11-07T01:44:23.085Z,"269 km SE of ?funato, Japan",earthquake,,,,7,reviewed,us,us
2011-03-31T20:35:27.270Z,37.405,142.027,35,4.6,mb,19,135.4,,1.14,us,usp000hz0w,2014-11-07T01:44:23.082Z,"91 km E of Namie, Japan",earthquake,,,,4,reviewed,us,us
2011-03-31T20:07:27.090Z,40.096,143.273,59.8,4.6,mb,21,241.9,,0.86,us,usp000hz0t,2014-11-07T01:44:23.074Z,"124 km ENE of Miyako, Japan",earthquake,,23.2,,5,reviewed,us,us
2011-03-31T19:35:03.890Z,37.699,142.273,29.5,5.1,mwc,257,45.9,,0.76,us,usp000hz0r,2014-11-07T01:44:23.050Z,"114 km ENE of Namie, Japan",earthquake,,7.5,,,reviewed,us,gcmt
2011-03-31T19:17:28.810Z,37.946,144.251,35,4.4,mb,37,136.1,,0.82,us,usp000hz0q,2014-11-07T01:44:23.047Z,"253 km ESE of ?funato, Japan",earthquake,,,,7,reviewed,us,us
2011-03-31T18:37:31.400Z,37.73,145.028,35,4,mb,34,128.6,,0.86,us,usp000hz0p,2014-11-07T01:44:23.044Z,"off the east coast of Honshu, Japan",earthquake,,,,4,reviewed,us,us
2011-03-31T17:31:24.670Z,36.85,144.014,21.9,4.7,mb,84,119.4,,0.64,us,usp000hz0g,2014-11-07T01:44:23.023Z,"276 km ESE of Namie, Japan",earthquake,,11.8,,36,reviewed,us,us
2011-03-31T17:27:59.950Z,36.17,144.137,35,4.3,mb,33,116.1,,0.81,us,usp000hz0f,2014-11-07T01:44:23.020Z,"off the east coast of Honshu, Japan",earthquake,,,,4,reviewed,us,us
2011-03-31T17:21:39.800Z,36.931,141.182,52.8,4.5,mb,58,120.2,,0.86,us,usp000hz0e,2014-11-07T01:44:23.015Z,"29 km ESE of Iwaki, Japan",earthquake,,7.6,,18,reviewed,us,us
2011-03-31T17:10:06.530Z,36.272,142.665,34.6,4.4,mb,30,126.4,,0.69,us,usp000hz0d,2014-11-07T01:44:23.012Z,"175 km ENE of Hasaki, Japan",earthquake,,17.8,,7,reviewed,us,us
2011-03-31T16:46:31.980Z,38.792,143.389,37.7,4.2,mb,36,134.9,,0.94,us,usp000hz0c,2014-11-07T01:44:23.009Z,"142 km ESE of Kamaishi, Japan",earthquake,,11.7,,7,reviewed,us,us
2011-03-31T15:55:04.620Z,37.132,144.165,35,4.3,mb,39,136.3,,0.69,us,usp000hz09,2014-11-07T01:44:22.994Z,"283 km E of Namie, Japan",earthquake,,,,6,reviewed,us,us
2011-03-31T15:04:05.940Z,38.079,142.391,38.5,4.6,mb,28,134.6,,0.94,us,usp000hz07,2014-11-07T01:44:22.987Z,"102 km ESE of Ishinomaki, Japan",earthquake,,8.7,,3,reviewed,us,us
2011-03-31T14:42:36.660Z,38.508,142.574,39.2,4.6,mb,95,121.8,,1.06,us,usp000hz06,2014-11-07T01:44:22.980Z,"97 km SE of ?funato, Japan",earthquake,,6.7,,37,reviewed,us,us
2011-03-31T14:20:36.970Z,38.857,142.435,48.1,4.4,mb,21,135.8,,1.24,us,usp000hz05,2014-11-07T01:44:22.978Z,"66 km ESE of ?funato, Japan",earthquake,,11.5,,4,reviewed,us,us
2011-03-31T13:43:00.130Z,38.314,142.29,35,4.5,mb,31,121.5,,1.08,us,usp000hz04,2014-11-07T01:44:22.976Z,"87 km E of Ishinomaki, Japan",earthquake,,,,5,reviewed,us,us
2011-03-31T13:10:56.670Z,37.668,141.824,35,4.4,mb,28,120.9,,0.83,us,usp000hz02,2014-11-07T01:44:22.972Z,"75 km ENE of Namie, Japan",earthquake,,,,4,reviewed,us,us
2011-03-31T12:14:27.980Z,37.681,142.44,35,4,mb,18,156.2,,0.81,us,usp000hz00,2014-11-07T01:44:22.968Z,"129 km E of Namie, Japan",earthquake,,,,1,reviewed,us,us
2011-03-31T11:36:48.730Z,39.768,144.341,35,4.5,mb,29,143.3,,0.81,us,usp000hyzw,2014-11-07T01:44:22.956Z,"206 km E of Miyako, Japan",earthquake,,,,8,reviewed,us,us
2011-03-31T10:30:32.300Z,38.454,142.127,43.7,4.5,mb,35,129.9,,0.69,us,usp000hyzv,2014-11-07T01:44:22.953Z,"72 km E of Ishinomaki, Japan",earthquake,,6.6,,2,reviewed,us,us
